                                                                                                                                                                                                                                                                
                        1
               freq_units
CYC_PER_DAY              
                        1                         2                         3                         4                         5                         6                         7                         8                         9
                   E_norm                    M_star                    R_star                  Re(freq)                  Im(freq)                         l                      n_pg                 Re(omega)                 Im(omega)
  0.6030531444139132E-003   0.6959434547443176E+034   0.3378619477416080E+012   0.2840358016090302E+000   0.0000000000000000E+000                         1                       -75   0.1882167601320525E+000   0.0000000000000000E+000
  0.2941244671439716E-003   0.6959434547443176E+034   0.3378619477416080E+012   0.2880596606865380E+000   0.0000000000000000E+000                         1                       -74   0.1908831765292324E+000   0.0000000000000000E+000
  0.5598473510646215E-003   0.6959434547443176E+034   0.3378619477416080E+012   0.2913735772407379E+000   0.0000000000000000E+000                         1                       -73   0.1930791484230785E+000   0.0000000000000000E+000
  0.4206077517630350E-003   0.6959434547443176E+034   0.3378619477416080E+012   0.2961014419668129E+000   0.0000000000000000E+000                         1                       -72   0.1962120752444281E+000   0.0000000000000000E+000
  0.4291525372678244E-003   0.6959434547443176E+034   0.3378619477416080E+012   0.2989269285848933E+000   0.0000000000000000E+000                         1                       -71   0.1980843882910192E+000   0.0000000000000000E+000
  0.6106282306070623E-003   0.6959434547443176E+034   0.3378619477416080E+012   0.3041212877309067E+000   0.0000000000000000E+000                         1                       -70   0.2015264383561398E+000   0.0000000000000000E+000
  0.3716923231860409E-003   0.6959434547443176E+034   0.3378619477416080E+012   0.3075630572361960E+000   0.0000000000000000E+000                         1                       -69   0.2038071322043700E+000   0.0000000000000000E+000
  0.7807508569504042E-003   0.6959434547443176E+034   0.3378619477416080E+012   0.3124029747240316E+000   0.0000000000000000E+000                         1                       -68   0.2070143109603804E+000   0.0000000000000000E+000
  0.3550345827201352E-003   0.6959434547443176E+034   0.3378619477416080E+012   0.3172313076537644E+000   0.0000000000000000E+000                         1                       -67   0.2102138131911736E+000   0.0000000000000000E+000
  0.1001407277639954E-002   0.6959434547443176E+034   0.3378619477416080E+012   0.3223077010645170E+000   0.0000000000000000E+000                         1                       -66   0.2135776930806628E+000   0.0000000000000000E+000
  0.4448039299408199E-003   0.6959434547443176E+034   0.3378619477416080E+012   0.3273283368510970E+000   0.0000000000000000E+000                         1                       -65   0.2169046250948665E+000   0.0000000000000000E+000
  0.8959236727090498E-003   0.6959434547443176E+034   0.3378619477416080E+012   0.3319845421303796E+000   0.0000000000000000E+000                         1                       -64   0.2199900666737512E+000   0.0000000000000000E+000
  0.7535705995737802E-003   0.6959434547443176E+034   0.3378619477416080E+012   0.3378971926828050E+000   0.0000000000000000E+000                         1                       -63   0.2239080936424160E+000   0.0000000000000000E+000
  0.7108767276113828E-003   0.6959434547443176E+034   0.3378619477416080E+012   0.3413058574616071E+000   0.0000000000000000E+000                         1                       -62   0.2261668505928003E+000   0.0000000000000000E+000
  0.7646490844004052E-003   0.6959434547443176E+034   0.3378619477416080E+012   0.3488983915003053E+000   0.0000000000000000E+000                         1                       -61   0.2311980549334529E+000   0.0000000000000000E+000
  0.7324459503406785E-003   0.6959434547443176E+034   0.3378619477416080E+012   0.3540902159532103E+000   0.0000000000000000E+000                         1                       -60   0.2346384253802926E+000   0.0000000000000000E+000
  0.1835919879548786E-002   0.6959434547443176E+034   0.3378619477416080E+012   0.3604092294491327E+000   0.0000000000000000E+000                         1                       -59   0.2388257293775202E+000   0.0000000000000000E+000
  0.6817249256357846E-003   0.6959434547443176E+034   0.3378619477416080E+012   0.3655656141871581E+000   0.0000000000000000E+000                         1                       -58   0.2422426156428700E+000   0.0000000000000000E+000
  0.1504546916841890E-002   0.6959434547443176E+034   0.3378619477416080E+012   0.3725959084458875E+000   0.0000000000000000E+000                         1                       -57   0.2469012509298906E+000   0.0000000000000000E+000
  0.8459497855052047E-003   0.6959434547443176E+034   0.3378619477416080E+012   0.3795023117629074E+000   0.0000000000000000E+000                         1                       -56   0.2514777896941272E+000   0.0000000000000000E+000
  0.1579547151230339E-002   0.6959434547443176E+034   0.3378619477416080E+012   0.3860211389489232E+000   0.0000000000000000E+000                         1                       -55   0.2557975005399505E+000   0.0000000000000000E+000
  0.1141923537906591E-002   0.6959434547443176E+034   0.3378619477416080E+012   0.3942788823506051E+000   0.0000000000000000E+000                         1                       -54   0.2612695068865511E+000   0.0000000000000000E+000
  0.1718034881641604E-002   0.6959434547443176E+034   0.3378619477416080E+012   0.3995463028759328E+000   0.0000000000000000E+000                         1                       -53   0.2647599711868752E+000   0.0000000000000000E+000
  0.1918561675763808E-002   0.6959434547443176E+034   0.3378619477416080E+012   0.4080315663160468E+000   0.0000000000000000E+000                         1                       -52   0.2703827440363469E+000   0.0000000000000000E+000
  0.1285607481276126E-002   0.6959434547443176E+034   0.3378619477416080E+012   0.4144970819151566E+000   0.0000000000000000E+000                         1                       -51   0.2746671278772360E+000   0.0000000000000000E+000
  0.2309412462116696E-002   0.6959434547443176E+034   0.3378619477416080E+012   0.4240205322549090E+000   0.0000000000000000E+000                         1                       -50   0.2809778568701043E+000   0.0000000000000000E+000
  0.1280819534535795E-002   0.6959434547443176E+034   0.3378619477416080E+012   0.4328962338437619E+000   0.0000000000000000E+000                         1                       -49   0.2868593541584366E+000   0.0000000000000000E+000
  0.4871196959257004E-002   0.6959434547443176E+034   0.3378619477416080E+012   0.4427345001623755E+000   0.0000000000000000E+000                         1                       -48   0.2933786964431624E+000   0.0000000000000000E+000
  0.1618649463144948E-002   0.6959434547443176E+034   0.3378619477416080E+012   0.4505612272836332E+000   0.0000000000000000E+000                         1                       -47   0.2985650891896251E+000   0.0000000000000000E+000
  0.3673808260864546E-002   0.6959434547443176E+034   0.3378619477416080E+012   0.4589242091766997E+000   0.0000000000000000E+000                         1                       -46   0.3041068319841572E+000   0.0000000000000000E+000
  0.2546167517711561E-002   0.6959434547443176E+034   0.3378619477416080E+012   0.4700167222025248E+000   0.0000000000000000E+000                         1                       -45   0.3114573027755724E+000   0.0000000000000000E+000
  0.2607190099337799E-002   0.6959434547443176E+034   0.3378619477416080E+012   0.4777155465890799E+000   0.0000000000000000E+000                         1                       -44   0.3165589405784633E+000   0.0000000000000000E+000
  0.2786856451043249E-002   0.6959434547443176E+034   0.3378619477416080E+012   0.4935621205322602E+000   0.0000000000000000E+000                         1                       -43   0.3270596971376096E+000   0.0000000000000000E+000
  0.3931486479208630E-002   0.6959434547443176E+034   0.3378619477416080E+012   0.5010927257451100E+000   0.0000000000000000E+000                         1                       -42   0.3320498642467093E+000   0.0000000000000000E+000
  0.5204752310624887E-002   0.6959434547443176E+034   0.3378619477416080E+012   0.5149981305262583E+000   0.0000000000000000E+000                         1                       -41   0.3412643020795676E+000   0.0000000000000000E+000
  0.3248624103412364E-002   0.6959434547443176E+034   0.3378619477416080E+012   0.5256777519258458E+000   0.0000000000000000E+000                         1                       -40   0.3483411696007758E+000   0.0000000000000000E+000
  0.8638257033773324E-002   0.6959434547443176E+034   0.3378619477416080E+012   0.5410978158852915E+000   0.0000000000000000E+000                         1                       -39   0.3585592986642059E+000   0.0000000000000000E+000
  0.4332221765883491E-002   0.6959434547443176E+034   0.3378619477416080E+012   0.5532885492925443E+000   0.0000000000000000E+000                         1                       -38   0.3666375068779192E+000   0.0000000000000000E+000
  0.1346569583367174E-001   0.6959434547443176E+034   0.3378619477416080E+012   0.5662293695894238E+000   0.0000000000000000E+000                         1                       -37   0.3752127613209574E+000   0.0000000000000000E+000
  0.6801050898858370E-002   0.6959434547443176E+034   0.3378619477416080E+012   0.5817903303014739E+000   0.0000000000000000E+000                         1                       -36   0.3855242558338770E+000   0.0000000000000000E+000
  0.9452486231992180E-002   0.6959434547443176E+034   0.3378619477416080E+012   0.5961721517348149E+000   0.0000000000000000E+000                         1                       -35   0.3950543918929473E+000   0.0000000000000000E+000
  0.9572239385493819E-002   0.6959434547443176E+034   0.3378619477416080E+012   0.6197336576257647E+000   0.0000000000000000E+000                         1                       -34   0.4106674599551597E+000   0.0000000000000000E+000
  0.1567438701528661E-001   0.6959434547443176E+034   0.3378619477416080E+012   0.6346115254421267E+000   0.0000000000000000E+000                         1                       -33   0.4205263019117209E+000   0.0000000000000000E+000
  0.2031346135868225E-001   0.6959434547443176E+034   0.3378619477416080E+012   0.6568808661267048E+000   0.0000000000000000E+000                         1                       -32   0.4352831147155436E+000   0.0000000000000000E+000
  0.1513069609307847E-001   0.6959434547443176E+034   0.3378619477416080E+012   0.6738472536883584E+000   0.0000000000000000E+000                         1                       -31   0.4465259174886770E+000   0.0000000000000000E+000
  0.3931052230018024E-001   0.6959434547443176E+034   0.3378619477416080E+012   0.6974151821919764E+000   0.0000000000000000E+000                         1                       -30   0.4621432415050373E+000   0.0000000000000000E+000
  0.1808512008332802E-001   0.6959434547443176E+034   0.3378619477416080E+012   0.7200805303372677E+000   0.0000000000000000E+000                         1                       -29   0.4771624692608531E+000   0.0000000000000000E+000
  0.5776980489702700E-001   0.6959434547443176E+034   0.3378619477416080E+012   0.7444082199601821E+000   0.0000000000000000E+000                         1                       -28   0.4932832501496857E+000   0.0000000000000000E+000
